[SPHERE] radius = 0.0012714560254376561 | density = 0.13768858601176814 | surface_area = 2.0314800071126963e-05
[TETRAHEDRON] side = 0.07985332347095653 | density = 0.41250667262391905 | surface_area = 0.011044514239696131
[PARALLELEPIPED] width = 0.22227461963255912 | length = 0.019067398252068712 | height = 0.005492836367261944 | density = 0.33804673129038276 | surface_area = 0.011127701813292323
[TETRAHEDRON] side = 0.08730030637474728 | density = 0.21066113413010568 | surface_area = 0.013200554152026514
[TETRAHEDRON] side = 0.08898450808218672 | density = 0.9572499326262763 | surface_area = 0.01371479862604528
[TETRAHEDRON] side = 0.0904112915502443 | density = 0.34479576410459145 | surface_area = 0.014158132551417462
[SPHERE] radius = 0.033573476565111116 | density = 0.1857979378223069 | surface_area = 0.014164540626516862
[TETRAHEDRON] side = 0.09254477423792129 | density = 0.573698303528516 | surface_area = 0.014834210176725269
[PARALLELEPIPED] width = 0.12271260482717683 | length = 0.011847811600720126 | height = 0.0487372034034772 | density = 0.9721352159262447 | surface_area = 0.016023948417058037
[TETRAHEDRON] side = 0.0981553931115059 | density = 0.02546672082699708 | surface_area = 0.016687410937553222
[TETRAHEDRON] side = 0.10058687197396321 | density = 0.3269233183617113 | surface_area = 0.017524403041688695
[TETRAHEDRON] side = 0.10481403860322103 | density = 0.35530018392607 | surface_area = 0.019028280187238043
[SPHERE] radius = 0.03891949978900311 | density = 0.9832623846605452 | surface_area = 0.01903462669018852
[SPHERE] radius = 0.039011545575155404 | density = 0.8957555171207999 | surface_area = 0.019124768085697328
[TETRAHEDRON] side = 0.10734717350079592 | density = 0.5025275850403846 | surface_area = 0.019959141397447266
[SPHERE] radius = 0.040034288199338186 | density = 0.36176765355009644 | surface_area = 0.02014067801465961
[TETRAHEDRON] side = 0.10950063017914491 | density = 0.2398076685891457 | surface_area = 0.020767961235143583
[SPHERE] radius = 0.04084963223581983 | density = 0.16673234824419325 | surface_area = 0.02096940781585697
[PARALLELEPIPED] width = 0.01650408391436864 | length = 0.182302596774934 | height = 0.03957068430504751 | density = 0.04218387783767574 | surface_area = 0.021751307508543198
[TETRAHEDRON] side = 0.11289698043089191 | density = 0.7105162428252485 | surface_area = 0.02207624880525857
[TETRAHEDRON] side = 0.11332590120041575 | density = 0.9480712032629376 | surface_area = 0.02224431262656655
[TETRAHEDRON] side = 0.11526197751171752 | density = 0.13431851014794793 | surface_area = 0.023010855227553764
[TETRAHEDRON] side = 0.11609998717257497 | density = 0.551600346815202 | surface_area = 0.02334667140692878
[SPHERE] radius = 0.0433535431219062 | density = 0.18532090354195374 | surface_area = 0.02361886680626374
[SPHERE] radius = 0.04416061717448605 | density = 0.3924753583339786 | surface_area = 0.02450643468994235
[TETRAHEDRON] side = 0.12365708111291973 | density = 0.11341458164557494 | surface_area = 0.0264849165669047
[TETRAHEDRON] side = 0.12504472646210407 | density = 0.2044314956236668 | surface_area = 0.027082664459357614
[TETRAHEDRON] side = 0.1257780506216749 | density = 0.9049994620494453 | surface_area = 0.027401248189238534
[SPHERE] radius = 0.04761710995376178 | density = 0.3505916026339164 | surface_area = 0.028492852515921662
[SPHERE] radius = 0.047628907280251376 | density = 0.13091376163048773 | surface_area = 0.02850697269768057
[TETRAHEDRON] side = 0.1325466739275023 | density = 0.7352060076649609 | surface_area = 0.030429743791239756
[TETRAHEDRON] side = 0.1341437246951569 | density = 0.19491040120188496 | surface_area = 0.03116745559042927
[TETRAHEDRON] side = 0.1403306158567985 | density = 0.9545110590382718 | surface_area = 0.03410872532265237
[SPHERE] radius = 0.052687489353198 | density = 0.9797224758806503 | surface_area = 0.03488388711546985
[TETRAHEDRON] side = 0.1457952433462142 | density = 0.2230944757255302 | surface_area = 0.03681691014402277
[TETRAHEDRON] side = 0.14800981522346435 | density = 0.6831194929516698 | surface_area = 0.03794387319370751
[TETRAHEDRON] side = 0.1561497889171788 | density = 0.23022083354489498 | surface_area = 0.04223217322320358
[TETRAHEDRON] side = 0.15809454262357658 | density = 0.04375306294789916 | surface_area = 0.043290677672047376
[TETRAHEDRON] side = 0.16108571053775367 | density = 0.8194997100835691 | surface_area = 0.04494430421912623
[TETRAHEDRON] side = 0.16316496591048668 | density = 0.6218660977548663 | surface_area = 0.046112052806242386
[SPHERE] radius = 0.0620922708406253 | density = 0.9055834947180323 | surface_area = 0.048449014818464635
[PARALLELEPIPED] width = 0.0324822480935677 | length = 0.2820384059405756 | height = 0.050235161955146435 | density = 0.24462114014564806 | surface_area = 0.04992247493463981
[TETRAHEDRON] side = 0.17136486158008313 | density = 0.2991476111646467 | surface_area = 0.0508632581493022
[TETRAHEDRON] side = 0.17163711947736293 | density = 0.42426856526054224 | surface_area = 0.0510250057107203
[SPHERE] radius = 0.06478819958958215 | density = 0.7927461094136047 | surface_area = 0.0527474764467216
[TETRAHEDRON] side = 0.1766294945467225 | density = 0.826256857319793 | surface_area = 0.05403648358494826
[TETRAHEDRON] side = 0.17838593982138118 | density = 0.3431338355249868 | surface_area = 0.05511653016222273
[SPHERE] radius = 0.06753499600875079 | density = 0.17882764072797885 | surface_area = 0.05731491083212538
[PARALLELEPIPED] width = 0.04616483843320818 | length = 0.1488490633353854 | height = 0.11277866867918618 | density = 0.6631235006753645 | surface_area = 0.05773000235041602
[TETRAHEDRON] side = 0.1840585019016513 | density = 0.9639294386463845 | surface_area = 0.05867760687083595
[TETRAHEDRON] side = 0.184144728569535 | density = 0.35942276535683004 | surface_area = 0.05873259764396249
[TETRAHEDRON] side = 0.18598067948485053 | density = 0.9011354035159833 | surface_area = 0.059909581734838166
[TETRAHEDRON] side = 0.19095915366570704 | density = 0.012120487601759322 | surface_area = 0.06315992269286769
[TETRAHEDRON] side = 0.1909627228193318 | density = 0.6976649321512952 | surface_area = 0.06316228371688132
[SPHERE] radius = 0.07101104409875447 | density = 0.777361511548853 | surface_area = 0.06336678316153456
[SPHERE] radius = 0.07104633783472092 | density = 0.5108462379977995 | surface_area = 0.06342978762288075
[TETRAHEDRON] side = 0.19200719678291966 | density = 0.14833890870549304 | surface_area = 0.06385510769429686
[TETRAHEDRON] side = 0.19241538308535233 | density = 0.7744351576972494 | surface_area = 0.06412689423328696
[SPHERE] radius = 0.07190694622214977 | density = 0.12103719936343882 | surface_area = 0.06497578792773848
[PARALLELEPIPED] width = 0.10650389916976966 | length = 0.2805126085036783 | height = 0.007582147032519138 | density = 0.781328341137165 | surface_area = 0.06562020527423396
[SPHERE] radius = 0.07244639213815973 | density = 0.9121335524109646 | surface_area = 0.06595434149733652
[TETRAHEDRON] side = 0.19531174810721152 | density = 0.3698960150723918 | surface_area = 0.06607198607915758
[TETRAHEDRON] side = 0.1979414859748806 | density = 0.15850610826774414 | surface_area = 0.06786319148155665
[TETRAHEDRON] side = 0.19965415542012643 | density = 0.565574808513082 | surface_area = 0.06904263131716275
[SPHERE] radius = 0.07473326028738958 | density = 0.676354239083664 | surface_area = 0.0701839362910385
[TETRAHEDRON] side = 0.20130015158107895 | density = 0.8892054083965127 | surface_area = 0.07018573158966751
[TETRAHEDRON] side = 0.20336831306848135 | density = 0.49676457264409557 | surface_area = 0.07163531909038728
[TETRAHEDRON] side = 0.20818018682729167 | density = 0.2310306308924115 | surface_area = 0.0750653329533856
[TETRAHEDRON] side = 0.20917239197299187 | density = 0.7667843279050969 | surface_area = 0.07578257411244511
[TETRAHEDRON] side = 0.21092472710039933 | density = 0.28735038577873073 | surface_area = 0.0770576249402697
[SPHERE] radius = 0.07882853592331496 | density = 0.9726057847358417 | surface_area = 0.07808664883534855
[PARALLELEPIPED] width = 0.07346678685816721 | length = 0.3890424167669825 | height = 0.02285287919302592 | density = 0.9258498855128999 | surface_area = 0.07830272653502866
[TETRAHEDRON] side = 0.22385710644165036 | density = 0.13774980317319174 | surface_area = 0.08679653717797006
[TETRAHEDRON] side = 0.22409783181809606 | density = 0.4301415400758928 | surface_area = 0.08698331135457978
[TETRAHEDRON] side = 0.22600480687850377 | density = 0.9247354048826183 | surface_area = 0.08846999032993193
[TETRAHEDRON] side = 0.228359476737777 | density = 0.2726580326678131 | surface_area = 0.09032307318250117
[TETRAHEDRON] side = 0.23219773167260505 | density = 0.9939205680306648 | surface_area = 0.0933848817106811
[PARALLELEPIPED] width = 0.02599536500261357 | length = 0.08348586604763963 | height = 0.41133809916568254 | density = 0.7245856377252153 | surface_area = 0.0944080940699955
[PARALLELEPIPED] width = 0.061142933883911454 | length = 0.6472210972296045 | height = 0.011315285486140025 | density = 0.8625161753850965 | surface_area = 0.0951766759926895
[TETRAHEDRON] side = 0.2396488396407206 | density = 0.16091048264208763 | surface_area = 0.09947439086112368
[TETRAHEDRON] side = 0.24022440696964276 | density = 0.7192119995528128 | surface_area = 0.0999527821904642
[SPHERE] radius = 0.09003282875588448 | density = 0.603347894932908 | surface_area = 0.10186187241581435
[TETRAHEDRON] side = 0.24507441270099595 | density = 0.3468795809014884 | surface_area = 0.10402951373875848
[TETRAHEDRON] side = 0.24663824517037802 | density = 0.5929615306452639 | surface_area = 0.10536138498056932
[TETRAHEDRON] side = 0.24687018669230454 | density = 0.787431034262846 | surface_area = 0.10555964434386791
[PARALLELEPIPED] width = 0.0441989190665375 | length = 0.05785869539560673 | height = 0.49898558168947127 | density = 0.025906271802628722 | surface_area = 0.1069651398266374
[SPHERE] radius = 0.0925914101451697 | density = 0.6902682531811104 | surface_area = 0.10773362191736545
[TETRAHEDRON] side = 0.2561094978530676 | density = 0.21573419923078674 | surface_area = 0.11360880628429613
[SPHERE] radius = 0.09541337928280891 | density = 0.40279938162260687 | surface_area = 0.11440063084825088
[TETRAHEDRON] side = 0.25714351686698167 | density = 0.9975519800491961 | surface_area = 0.11452802881607771
[TETRAHEDRON] side = 0.257433672038734 | density = 0.39956682283987244 | surface_area = 0.1147866365289248
[TETRAHEDRON] side = 0.2579975918954006 | density = 0.5148554800352896 | surface_area = 0.11529007774994855
[TETRAHEDRON] side = 0.2624134769968478 | density = 0.8302620660685223 | surface_area = 0.1192704612508952
[TETRAHEDRON] side = 0.26628157507823447 | density = 0.721027158925242 | surface_area = 0.12281258191092483
[TETRAHEDRON] side = 0.2668854028238522 | density = 0.5479996390935575 | surface_area = 0.12337020010474037
[SPHERE] radius = 0.10025781032673953 | density = 0.4892045403857841 | surface_area = 0.12631248940485268
[TETRAHEDRON] side = 0.2744666521747672 | density = 0.7539790517827848 | surface_area = 0.1304787529791252
[TETRAHEDRON] side = 0.2753488026643792 | density = 0.598627956256092 | surface_area = 0.1313188322144972
[TETRAHEDRON] side = 0.2768823896231959 | density = 0.5526124709921664 | surface_area = 0.1327856966119672
[TETRAHEDRON] side = 0.2769553663454105 | density = 0.6156196134821522 | surface_area = 0.13285570136683816
[PARALLELEPIPED] width = 0.34719680270689535 | length = 0.07352616757901953 | height = 0.09812213207664555 | density = 0.6647470841750386 | surface_area = 0.13362057031360025
[TETRAHEDRON] side = 0.27934863204484384 | density = 0.3564711628378586 | surface_area = 0.13516172484834402
[SPHERE] radius = 0.1039268466826041 | density = 0.007015385357976078 | surface_area = 0.13572672329948524
[TETRAHEDRON] side = 0.28208741145153116 | density = 0.3512084323668827 | surface_area = 0.13782501186171656
[PARALLELEPIPED] width = 0.042883435915917256 | length = 0.1525912867583713 | height = 0.3191064443707493 | density = 0.17225174434369528 | surface_area = 0.13784176476796095
[SPHERE] radius = 0.10603629946443738 | density = 0.5669168123265248 | surface_area = 0.1412924611159552
[TETRAHEDRON] side = 0.28709394877800964 | density = 0.6739115926176327 | surface_area = 0.1427607118649828
[PARALLELEPIPED] width = 0.3241781674967462 | length = 0.029252372452826636 | height = 0.17555433386031238 | density = 0.21658318842161473 | surface_area = 0.14305848700685486
[TETRAHEDRON] side = 0.2897051051545937 | density = 0.9565837695654977 | surface_area = 0.14536937528484706
[TETRAHEDRON] side = 0.2899364709106248 | density = 0.49982009246224535 | surface_area = 0.14560165925288196
[TETRAHEDRON] side = 0.29006821604170807 | density = 0.194598521995332 | surface_area = 0.14573401009359208
[PARALLELEPIPED] width = 0.8519170124571354 | length = 0.022535896820987777 | height = 0.06248797224589475 | density = 0.7781753869260317 | surface_area = 0.1476830060361829
[SPHERE] radius = 0.1087738438254291 | density = 0.9466983670342091 | surface_area = 0.14868214421373319
[TETRAHEDRON] side = 0.29327838869937173 | density = 0.9251761576647793 | surface_area = 0.14897752346911922
[PARALLELEPIPED] width = 0.33367770931692975 | length = 0.059498246000324495 | height = 0.14828310622231056 | density = 0.024449601232212292 | surface_area = 0.1563091807602606
[SPHERE] radius = 0.11276740904480731 | density = 0.4754464673589247 | surface_area = 0.1598001079405551
[SPHERE] radius = 0.11527680795587958 | density = 0.31452456412278995 | surface_area = 0.16699126265684228
[PARALLELEPIPED] width = 0.20455605459378234 | length = 0.39590446696297277 | height = 0.004311103874588773 | density = 0.5861033988847942 | surface_area = 0.16714660687804214
[TETRAHEDRON] side = 0.3117279365781833 | density = 0.364431679847689 | surface_area = 0.16831083595004925
[TETRAHEDRON] side = 0.3151755532549734 | density = 0.37737943085674786 | surface_area = 0.1720543570699412
[TETRAHEDRON] side = 0.31675248938022305 | density = 0.2344054618830902 | surface_area = 0.17378036329557
[TETRAHEDRON] side = 0.3174291371136173 | density = 0.35950194093597065 | surface_area = 0.17452361671213057
[TETRAHEDRON] side = 0.31786656291368154 | density = 0.1429539154735141 | surface_area = 0.17500494450340684
[TETRAHEDRON] side = 0.31900062230462767 | density = 0.7541192883382388 | surface_area = 0.17625590990642986
[TETRAHEDRON] side = 0.320077540849917 | density = 0.7201562811502081 | surface_area = 0.1774479681118527
[TETRAHEDRON] side = 0.3217084992410454 | density = 0.16747499640634644 | surface_area = 0.17926095129252154
[SPHERE] radius = 0.11963049805025361 | density = 0.22112007881429352 | surface_area = 0.17984306092822216
[TETRAHEDRON] side = 0.3226264251939919 | density = 0.6740087630787894 | surface_area = 0.1802853757729308
[SPHERE] radius = 0.12020605304852483 | density = 0.07625595258048146 | surface_area = 0.1815777117417169
[PARALLELEPIPED] width = 0.03570878056003368 | length = 0.4541077718843053 | height = 0.15245751176244904 | density = 0.5157840503479515 | surface_area = 0.18178369516509507
[TETRAHEDRON] side = 0.32501897622059006 | density = 0.7933173553760972 | surface_area = 0.1829692312289973
[SPHERE] radius = 0.12069834402389235 | density = 0.4809367678765756 | surface_area = 0.18306802122631302
[TETRAHEDRON] side = 0.32681866415248917 | density = 0.692793123968836 | surface_area = 0.18500110753968754
[TETRAHEDRON] side = 0.3302156931082816 | density = 0.08647009235316583 | surface_area = 0.1888669838641207
[PARALLELEPIPED] width = 0.13262962499631747 | length = 0.4145576778591257 | height = 0.0726479579294218 | density = 0.6275144700475452 | surface_area = 0.18946933902231208
[TETRAHEDRON] side = 0.3317335787372081 | density = 0.7560676918981095 | surface_area = 0.19060728492646012
[TETRAHEDRON] side = 0.33405204452243165 | density = 0.5110808364050564 | surface_area = 0.19328088061039012
[PARALLELEPIPED] width = 0.32907139243617944 | length = 0.23344543290251096 | height = 0.03679303181601323 | density = 0.5978636933494113 | surface_area = 0.19503382622965035
[SPHERE] radius = 0.12492627223504549 | density = 0.7110836582369495 | surface_area = 0.19611798655268323
[PARALLELEPIPED] width = 0.42156198693285296 | length = 0.06167022429140978 | height = 0.15040632151875077 | density = 0.5844587071174326 | surface_area = 0.19735800323298952
[PARALLELEPIPED] width = 0.11638198653522758 | length = 0.5318412944189076 | height = 0.05931871305201519 | density = 0.9024972354443094 | surface_area = 0.20069703432498698
[TETRAHEDRON] side = 0.34059258253560587 | density = 0.6374775026000868 | surface_area = 0.20092362205199424
[TETRAHEDRON] side = 0.34140371224694044 | density = 0.3907551511278632 | surface_area = 0.20188177083487202
[SPHERE] radius = 0.12782872807480883 | density = 0.48827041917775615 | surface_area = 0.20533680454761208
[PARALLELEPIPED] width = 0.03623090346103153 | length = 0.4743191855112181 | height = 0.1675951848804923 | density = 0.28677714719552105 | surface_area = 0.205501498344056
[PARALLELEPIPED] width = 0.21178471650172503 | length = 0.05146014106587826 | height = 0.3553734365996658 | density = 0.9368282850043451 | surface_area = 0.20889740217552907
[TETRAHEDRON] side = 0.3483549625171801 | density = 0.0771723069206881 | surface_area = 0.21018640916315084
[TETRAHEDRON] side = 0.3519082045692544 | density = 0.5168460001375793 | surface_area = 0.21449610583360137
[PARALLELEPIPED] width = 0.12718994638928127 | length = 0.13972689438389074 | height = 0.3358600568144714 | density = 0.3253247963107694 | surface_area = 0.2148371230252892
[TETRAHEDRON] side = 0.35864518584616256 | density = 0.2534823904144844 | surface_area = 0.22278740687376772
[TETRAHEDRON] side = 0.36522118712446683 | density = 0.49369412002234814 | surface_area = 0.23103222193319034
[PARALLELEPIPED] width = 0.10298272348084048 | length = 0.04678865946617339 | height = 0.7409248687896457 | density = 0.6989254101819843 | surface_area = 0.23157553167660833
[TETRAHEDRON] side = 0.36759332178453763 | density = 0.785027276161292 | surface_area = 0.23404310594719754
[PARALLELEPIPED] width = 0.3600712256632881 | length = 0.14376405440532736 | height = 0.1316981056908756 | density = 0.9277888660368141 | surface_area = 0.23623890248263654
[TETRAHEDRON] side = 0.3715987306670492 | density = 0.2685606491573451 | surface_area = 0.23917130380346133
[TETRAHEDRON] side = 0.3720446279562175 | density = 0.4734408771870866 | surface_area = 0.23974563203263763
[TETRAHEDRON] side = 0.3729328876205762 | density = 0.8053520240960278 | surface_area = 0.24089178803750072
[TETRAHEDRON] side = 0.3750960252077722 | density = 0.9146818469007576 | surface_area = 0.24369440118933924
[PARALLELEPIPED] width = 0.4907033646745128 | length = 0.17691409471640995 | height = 0.05273386327393936 | density = 0.6704121434944575 | surface_area = 0.244036778717007
[TETRAHEDRON] side = 0.3767132459853798 | density = 0.35776858398109646 | surface_area = 0.24580030056975896
[TETRAHEDRON] side = 0.3783289111435971 | density = 0.9005205396053158 | surface_area = 0.24791322122011356
[TETRAHEDRON] side = 0.3800614575219511 | density = 0.0863316312065111 | surface_area = 0.25018904329334873
[TETRAHEDRON] side = 0.3806442318402432 | density = 0.7470662016113596 | surface_area = 0.25095689560622847
[SPHERE] radius = 0.1429207546154826 | density = 0.04458642901215648 | surface_area = 0.25668498512251564
[PARALLELEPIPED] width = 0.13055271695012793 | length = 0.002460755102187462 | height = 0.9652169318232465 | density = 0.6708586885780512 | surface_area = 0.25741622729966496
[PARALLELEPIPED] width = 0.49584034482457773 | length = 0.14020508527581177 | height = 0.09316539377938715 | density = 0.7334900994181333 | surface_area = 0.2575535215724006
[PARALLELEPIPED] width = 0.9651602723359071 | length = 0.06833684922538585 | height = 0.061125337236866195 | density = 0.924525600750987 | surface_area = 0.2582577441954315
[PARALLELEPIPED] width = 0.06026772238957945 | length = 0.153987918995232 | height = 0.5790677299593712 | density = 0.20842942139252596 | surface_area = 0.2666980580820911
[TETRAHEDRON] side = 0.39433372626134955 | density = 0.5556310700704467 | surface_area = 0.2693323203701298
[TETRAHEDRON] side = 0.3999564716150166 | density = 0.26253171514452234 | surface_area = 0.277067817793282
[PARALLELEPIPED] width = 0.21474574956626502 | length = 0.00929040115317914 | height = 0.6175682651167881 | density = 0.23037981265759655 | surface_area = 0.28070538216532226
[PARALLELEPIPED] width = 0.6126055900828576 | length = 0.018836863229672485 | height = 0.20518810505011975 | density = 0.9539495142030895 | surface_area = 0.28220809631504074
[TETRAHEDRON] side = 0.4043196883397937 | density = 0.13754664376231507 | surface_area = 0.2831459845141185
[TETRAHEDRON] side = 0.40529234203812914 | density = 0.7807488833129567 | surface_area = 0.28450992626245997
[TETRAHEDRON] side = 0.40761303591839193 | density = 0.9046878415209634 | surface_area = 0.28777744796727245
[TETRAHEDRON] side = 0.40786550181877657 | density = 0.81734997153248 | surface_area = 0.28813404349387217
[TETRAHEDRON] side = 0.4083901725962048 | density = 0.9547122137454451 | surface_area = 0.28887582109774623
[PARALLELEPIPED] width = 0.8397513002310982 | length = 0.1301974485550519 | height = 0.038726037640494315 | density = 0.577721487277743 | surface_area = 0.2937914969314383
[TETRAHEDRON] side = 0.412759019457405 | density = 0.677041505988093 | surface_area = 0.29508951019035873
[PARALLELEPIPED] width = 0.2831818074760484 | length = 0.5054530336871903 | height = 0.005751335527874102 | density = 0.9000159529556148 | surface_area = 0.295341614508584
[TETRAHEDRON] side = 0.4132561635350894 | density = 0.05408631901818994 | surface_area = 0.2958007743539288
[PARALLELEPIPED] width = 0.09181318662972948 | length = 0.5383247783352844 | height = 0.15788668792607896 | density = 0.8886426013928862 | surface_area = 0.2978314191310217
[TETRAHEDRON] side = 0.4148082338954523 | density = 0.048639918054012465 | surface_area = 0.29802683066031566
[TETRAHEDRON] side = 0.4151033407228619 | density = 0.5006146840699468 | surface_area = 0.29845103167811354
[PARALLELEPIPED] width = 0.07894304401950902 | length = 0.7058664122635225 | height = 0.12114974341867202 | density = 0.9320104988250842 | surface_area = 0.30160541503289784
[PARALLELEPIPED] width = 0.49959614008784115 | length = 0.02011063282355352 | height = 0.27084993580348926 | density = 0.48764223791797756 | surface_area = 0.301619481226122
[TETRAHEDRON] side = 0.42113721842381857 | density = 0.4787301011432312 | surface_area = 0.30719056733218536
[TETRAHEDRON] side = 0.4259573745594777 | density = 0.6174373357237166 | surface_area = 0.3142627528281464
[TETRAHEDRON] side = 0.4262483420113382 | density = 0.868146750302322 | surface_area = 0.31469223929250645
[PARALLELEPIPED] width = 0.0714710756171919 | length = 0.179031705812156 | height = 0.5779575260038604 | density = 0.6314111693579751 | surface_area = 0.3151511127919343
[TETRAHEDRON] side = 0.4268977976931929 | density = 0.34665070302456924 | surface_area = 0.31565193505684935
[SPHERE] radius = 0.15914316642969117 | density = 0.6250605724982286 | surface_area = 0.31826278127780105
[PARALLELEPIPED] width = 0.47143994823700386 | length = 0.16291952894729422 | height = 0.13406095121213912 | density = 0.5193680196145999 | surface_area = 0.3236992184309434
[TETRAHEDRON] side = 0.4331365583544896 | density = 0.5657027933132412 | surface_area = 0.3249453376829624
[TETRAHEDRON] side = 0.4364703924357298 | density = 0.37313069370475016 | surface_area = 0.329966769982452
[TETRAHEDRON] side = 0.4367608526388084 | density = 0.0741753181644419 | surface_area = 0.33040608548694617
[SPHERE] radius = 0.16318672906200837 | density = 0.16844972667556568 | surface_area = 0.3346413001647249
[TETRAHEDRON] side = 0.44046360588650457 | density = 0.18423422726563143 | surface_area = 0.3360320388918389
[SPHERE] radius = 0.1638965539886199 | density = 0.2507302657290268 | surface_area = 0.33755885789654116
[TETRAHEDRON] side = 0.4421291558710705 | density = 0.208224251618352 | surface_area = 0.338578157667858
[PARALLELEPIPED] width = 0.10926053034145122 | length = 0.5207333920330663 | height = 0.17913450269998388 | density = 0.23066428984750742 | surface_area = 0.33949850913721424
[TETRAHEDRON] side = 0.4440980386973231 | density = 0.052152050805121974 | surface_area = 0.34160037415697964
[SPHERE] radius = 0.165595939453409 | density = 0.11635085620800356 | surface_area = 0.3445952055365789
